Person_ID,Day,Exercise_Type,Duration_Minutes,Calories_Burned
1,Monday,Strength Training,27,297
1,Tuesday,Elliptical,55,440
1,Wednesday,Walking,31,341
1,Thursday,Boxing,46,414
1,Friday,Spin Class,57,456
1,Saturday,Tennis,82,656
1,Sunday,Basketball,43,473
2,Monday,Volleyball,63,693
2,Tuesday,Deadlifts,39,390
2,Wednesday,Leg Press,82,492
2,Thursday,Leg Press,46,506
2,Friday,Mountain Climbers,93,651
2,Saturday,Sit-ups,29,319
2,Sunday,Burpees,113,791
3,Monday,Rowing,144,1584
3,Tuesday,CrossFit,84,672
3,Wednesday,Sprinting,117,1404
3,Thursday,Elliptical,86,860
3,Friday,Yoga,99,1089
3,Saturday,Skating,146,1022
3,Sunday,Battle Ropes,85,850
4,Monday,Push-ups,32,256
4,Tuesday,Jumping Jacks,22,198
4,Wednesday,Strength Training,118,826
4,Thursday,Strength Training,82,574
4,Friday,Football,89,534
4,Saturday,Yoga,20,240
4,Sunday,Kickboxing,21,231
5,Monday,Rugby,80,960
5,Tuesday,Resistance Band Workout,130,910
5,Wednesday,Skipping Rope,40,320
5,Thursday,Walking,56,336
5,Friday,Aerobics,136,1224
5,Saturday,Battle Ropes,150,1350
5,Sunday,Leg Press,47,423
6,Monday,Tennis,52,364
6,Tuesday,Squats,30,360
6,Wednesday,Mountain Climbers,118,1180
6,Thursday,Boxing,71,497
6,Friday,Squats,53,424
6,Saturday,Skipping Rope,133,1330
6,Sunday,Table Tennis,71,639
7,Monday,Pilates,87,1044
7,Tuesday,Volleyball,28,252
7,Wednesday,Kettlebell Workout,128,1024
7,Thursday,Leg Press,88,792
7,Friday,Basketball,118,1062
7,Saturday,Strength Training,86,1032
7,Sunday,Crunches,133,1064
8,Monday,Lunges,36,288
8,Tuesday,Bench Press,114,1368
8,Wednesday,Lunges,71,568
8,Thursday,Football,39,468
8,Friday,HIIT,143,1001
8,Saturday,Rock Climbing,65,780
8,Sunday,Shoulder Press,133,1463
9,Monday,Pull-ups,78,936
9,Tuesday,Skipping Rope,58,406
9,Wednesday,Core Training,106,1166
9,Thursday,Leg Press,74,740
9,Friday,Leg Press,147,1176
9,Saturday,Skating,88,880
9,Sunday,Kettlebell Workout,26,182
10,Monday,Kickboxing,140,1260
10,Tuesday,Elliptical,143,1144
10,Wednesday,Bench Press,41,451
10,Thursday,HIIT,54,324
10,Friday,Handball,134,804
10,Saturday,Elliptical,80,480
10,Sunday,Hiking,44,264
11,Monday,Plank,106,848
11,Tuesday,Kettlebell Workout,133,1197
11,Wednesday,Strength Training,51,357
11,Thursday,Plank,128,1152
11,Friday,Football,22,132
11,Saturday,Jumping Jacks,88,792
11,Sunday,Spin Class,27,270
12,Monday,Boxing,136,1088
12,Tuesday,Pull-ups,56,504
12,Wednesday,Tennis,42,420
12,Thursday,Sit-ups,72,432
12,Friday,Boxing,120,1200
12,Saturday,Battle Ropes,128,1280
12,Sunday,Leg Press,117,702
13,Monday,Mobility Drills,54,324
13,Tuesday,Stair Climber,86,860
13,Wednesday,Treadmill,81,810
13,Thursday,Kickboxing,81,648
13,Friday,Basketball,123,1230
13,Saturday,Sit-ups,90,540
13,Sunday,Stretching,94,940
14,Monday,Spin Class,26,286
14,Tuesday,Kettlebell Workout,84,840
14,Wednesday,Sprinting,114,684
14,Thursday,Boxing,82,984
14,Friday,CrossFit,144,864
14,Saturday,Squats,150,1200
14,Sunday,Burpees,84,672
15,Monday,Crunches,45,540
15,Tuesday,Pilates,135,1080
15,Wednesday,Battle Ropes,30,240
15,Thursday,Handball,113,1356
15,Friday,Kickboxing,44,440
15,Saturday,Spin Class,146,1752
15,Sunday,Aerobics,44,396
16,Monday,Skating,24,144
16,Tuesday,Squats,41,328
16,Wednesday,Skating,35,280
16,Thursday,Yoga,28,224
16,Friday,Bench Press,63,693
16,Saturday,Lunges,79,474
16,Sunday,Battle Ropes,132,1452
17,Monday,Mountain Climbers,31,217
17,Tuesday,Football,118,1180
17,Wednesday,Table Tennis,50,500
17,Thursday,Table Tennis,115,690
17,Friday,Badminton,57,456
17,Saturday,Pull-ups,132,924
17,Sunday,Push-ups,25,200
18,Monday,Deadlifts,51,408
18,Tuesday,Jumping Jacks,24,144
18,Wednesday,Spin Class,132,1056
18,Thursday,Kettlebell Workout,85,1020
18,Friday,Crunches,52,364
18,Saturday,HIIT,136,816
18,Sunday,Core Training,131,1310
19,Monday,Battle Ropes,31,310
19,Tuesday,Walking,42,504
19,Wednesday,Badminton,113,1017
19,Thursday,Badminton,96,960
19,Friday,Pull-ups,82,492
19,Saturday,Core Training,142,1420
19,Sunday,Crunches,42,420
20,Monday,Lunges,128,1280
20,Tuesday,Treadmill,63,504
20,Wednesday,HIIT,40,240
20,Thursday,Plank,42,294
20,Friday,Aerobics,119,1428
20,Saturday,Table Tennis,35,210
20,Sunday,Plank,144,1152
21,Monday,Battle Ropes,65,390
21,Tuesday,Yoga,143,858
21,Wednesday,Dancing,26,234
21,Thursday,Sprinting,69,759
21,Friday,Walking,93,837
21,Saturday,Rock Climbing,80,480
21,Sunday,CrossFit,121,1210
22,Monday,Rock Climbing,105,945
22,Tuesday,Walking,131,1179
22,Wednesday,Dancing,126,1008
22,Thursday,Running,71,568
22,Friday,Badminton,60,660
22,Saturday,Bench Press,51,408
22,Sunday,Pilates,90,540
23,Monday,Shoulder Press,77,539
23,Tuesday,Pilates,95,570
23,Wednesday,Aerobics,84,504
23,Thursday,Elliptical,101,1111
23,Friday,Running,87,1044
23,Saturday,Rowing,99,792
23,Sunday,Spin Class,78,936
24,Monday,Cycling,109,763
24,Tuesday,Yoga,103,1133
24,Wednesday,Yoga,67,804
24,Thursday,Skating,142,1704
24,Friday,Mountain Climbers,66,528
24,Saturday,Badminton,128,1152
24,Sunday,Burpees,76,760
25,Monday,Sit-ups,35,385
25,Tuesday,Zumba,51,306
25,Wednesday,Resistance Band Workout,65,585
25,Thursday,Badminton,117,1287
25,Friday,Core Training,47,517
25,Saturday,Boxing,108,1080
25,Sunday,Aerobics,117,936
26,Monday,Sit-ups,57,342
26,Tuesday,Sprinting,88,968
26,Wednesday,Resistance Band Workout,54,594
26,Thursday,Leg Press,85,765
26,Friday,Strength Training,102,918
26,Saturday,Treadmill,51,357
26,Sunday,Crunches,42,378
27,Monday,Martial Arts,77,616
27,Tuesday,Basketball,23,230
27,Wednesday,Shoulder Press,67,469
27,Thursday,Shoulder Press,94,564
27,Friday,Battle Ropes,75,750
27,Saturday,Pilates,39,468
27,Sunday,Pull-ups,30,360
28,Monday,Aerobics,25,275
28,Tuesday,Surfing,126,1008
28,Wednesday,Badminton,97,679
28,Thursday,Deadlifts,114,798
28,Friday,Kickboxing,22,264
28,Saturday,Mobility Drills,28,168
28,Sunday,Zumba,145,1450
29,Monday,Crunches,110,1320
29,Tuesday,Strength Training,148,1776
29,Wednesday,Aerobics,117,702
29,Thursday,Yoga,105,1155
29,Friday,HIIT,147,1176
29,Saturday,Football,25,275
29,Sunday,Running,123,1476
30,Monday,Stretching,73,584
30,Tuesday,Pilates,21,210
30,Wednesday,Leg Press,42,252
30,Thursday,Volleyball,104,1144
30,Friday,Hiking,52,520
30,Saturday,Cycling,23,207
30,Sunday,Burpees,97,679
31,Monday,Zumba,20,160
31,Tuesday,Crunches,105,945
31,Wednesday,Sprinting,112,1232
31,Thursday,Volleyball,108,648
31,Friday,Handball,62,682
31,Saturday,Treadmill,59,472
31,Sunday,Deadlifts,76,684
32,Monday,Dancing,115,1150
32,Tuesday,Hiking,143,858
32,Wednesday,Zumba,71,852
32,Thursday,Battle Ropes,46,552
32,Friday,Deadlifts,31,310
32,Saturday,Walking,104,832
32,Sunday,Rock Climbing,22,220
33,Monday,Handball,76,760
33,Tuesday,Table Tennis,136,1496
33,Wednesday,Aerobics,150,1800
33,Thursday,Stretching,142,994
33,Friday,Stretching,57,342
33,Saturday,Pull-ups,31,217
33,Sunday,CrossFit,76,608
34,Monday,Kettlebell Workout,147,1176
34,Tuesday,Core Training,114,1254
34,Wednesday,Burpees,85,680
34,Thursday,Elliptical,79,711
34,Friday,Elliptical,23,207
34,Saturday,Sit-ups,123,1230
34,Sunday,Treadmill,81,648
35,Monday,Boxing,22,176
35,Tuesday,Skipping Rope,84,924
35,Wednesday,Aerobics,30,210
35,Thursday,Core Training,67,804
35,Friday,Core Training,106,954
35,Saturday,Cycling,55,550
35,Sunday,Boxing,72,864
36,Monday,Basketball,73,803
36,Tuesday,Plank,28,168
36,Wednesday,Handball,68,816
36,Thursday,Spin Class,23,230
36,Friday,Plank,86,516
36,Saturday,Handball,102,918
36,Sunday,Resistance Band Workout,147,1764
37,Monday,Powerlifting,123,738
37,Tuesday,Volleyball,46,460
37,Wednesday,Mountain Climbers,125,750
37,Thursday,Yoga,50,550
37,Friday,Pilates,23,207
37,Saturday,Martial Arts,95,950
37,Sunday,Hiking,23,253
38,Monday,Pull-ups,80,880
38,Tuesday,Dancing,121,1089
38,Wednesday,Shoulder Press,95,855
38,Thursday,Crunches,70,560
38,Friday,Martial Arts,61,488
38,Saturday,Spin Class,47,376
38,Sunday,Resistance Band Workout,110,770
39,Monday,Yoga,118,1416
39,Tuesday,Skating,149,1341
39,Wednesday,Spin Class,135,1350
39,Thursday,Mobility Drills,47,423
39,Friday,Aerobics,149,1639
39,Saturday,HIIT,50,600
39,Sunday,Table Tennis,69,759
40,Monday,Swimming,104,624
40,Tuesday,HIIT,70,490
40,Wednesday,Rock Climbing,98,980
40,Thursday,Volleyball,66,462
40,Friday,Zumba,72,504
40,Saturday,Yoga,108,1296
40,Sunday,Elliptical,57,399
41,Monday,Powerlifting,51,459
41,Tuesday,Shoulder Press,148,1628
41,Wednesday,Pilates,123,1230
41,Thursday,Kickboxing,71,426
41,Friday,Yoga,77,847
41,Saturday,Stair Climber,58,464
41,Sunday,Yoga,107,856
42,Monday,Plank,133,1463
42,Tuesday,Treadmill,26,234
42,Wednesday,Burpees,95,1045
42,Thursday,Leg Press,92,920
42,Friday,Handball,116,1044
42,Saturday,Dancing,144,864
42,Sunday,Basketball,128,1536
43,Monday,Mobility Drills,138,1380
43,Tuesday,Deadlifts,122,1464
43,Wednesday,Shoulder Press,41,451
43,Thursday,Burpees,112,1232
43,Friday,Treadmill,139,1668
43,Saturday,Spin Class,126,882
43,Sunday,Basketball,107,749
44,Monday,Volleyball,25,150
44,Tuesday,Pilates,27,243
44,Wednesday,HIIT,24,288
44,Thursday,Strength Training,91,1092
44,Friday,Jumping Jacks,113,1017
44,Saturday,Rock Climbing,22,242
44,Sunday,Rowing,58,638
45,Monday,Table Tennis,73,438
45,Tuesday,Bench Press,147,1176
45,Wednesday,Stair Climber,121,1210
45,Thursday,Tennis,118,1062
45,Friday,Running,129,1290
45,Saturday,Powerlifting,32,384
45,Sunday,Pilates,78,702
46,Monday,Core Training,135,810
46,Tuesday,Shoulder Press,141,1410
46,Wednesday,CrossFit,134,1608
46,Thursday,Treadmill,148,1332
46,Friday,Rowing,91,546
46,Saturday,Boxing,52,416
46,Sunday,Kickboxing,139,1390
47,Monday,Stair Climber,124,992
47,Tuesday,Basketball,145,870
47,Wednesday,Pull-ups,92,644
47,Thursday,Volleyball,52,312
47,Friday,Football,69,414
47,Saturday,Stair Climber,60,480
47,Sunday,Football,150,1800
48,Monday,Handball,95,1140
48,Tuesday,Shoulder Press,25,225
48,Wednesday,Boxing,116,696
48,Thursday,Stretching,100,1200
48,Friday,Sit-ups,138,1242
48,Saturday,Sprinting,46,552
48,Sunday,Rock Climbing,63,567
49,Monday,Walking,73,584
49,Tuesday,Deadlifts,146,1314
49,Wednesday,Basketball,122,1464
49,Thursday,Yoga,25,175
49,Friday,Volleyball,143,1573
49,Saturday,Aerobics,99,891
49,Sunday,Badminton,143,1287
50,Monday,Kickboxing,34,340
50,Tuesday,Boxing,135,945
50,Wednesday,Leg Press,26,234
50,Thursday,Rock Climbing,133,1596
50,Friday,Battle Ropes,51,408
50,Saturday,Rock Climbing,126,1512
50,Sunday,Surfing,107,1070
51,Monday,Leg Press,28,224
51,Tuesday,Cycling,148,1184
51,Wednesday,Hiking,133,1463
51,Thursday,Kettlebell Workout,140,1540
51,Friday,Handball,49,441
51,Saturday,Skating,130,1430
51,Sunday,Elliptical,129,774
52,Monday,Crunches,27,162
52,Tuesday,Squats,139,1251
52,Wednesday,Handball,95,950
52,Thursday,Skating,35,245
52,Friday,Treadmill,28,336
52,Saturday,Deadlifts,121,1089
52,Sunday,Mountain Climbers,62,496
53,Monday,Rugby,38,266
53,Tuesday,Battle Ropes,55,550
53,Wednesday,Battle Ropes,80,640
53,Thursday,Walking,72,576
53,Friday,Core Training,49,539
53,Saturday,Dancing,74,592
53,Sunday,Badminton,55,440
54,Monday,CrossFit,119,1309
54,Tuesday,Plank,124,1488
54,Wednesday,Sprinting,63,441
54,Thursday,Burpees,21,168
54,Friday,Sit-ups,28,168
54,Saturday,Spin Class,49,441
54,Sunday,Rock Climbing,46,276
55,Monday,Leg Press,125,1250
55,Tuesday,Lunges,62,620
55,Wednesday,Skating,119,1190
55,Thursday,Stair Climber,22,154
55,Friday,Powerlifting,45,270
55,Saturday,Kettlebell Workout,89,1068
55,Sunday,Mobility Drills,24,192
56,Monday,Surfing,59,413
56,Tuesday,Spin Class,43,301
56,Wednesday,Football,90,990
56,Thursday,Basketball,47,470
56,Friday,Plank,32,256
56,Saturday,Crunches,29,319
56,Sunday,Hiking,50,400
57,Monday,Shoulder Press,120,1440
57,Tuesday,Aerobics,74,888
57,Wednesday,Tennis,116,1160
57,Thursday,Table Tennis,46,368
57,Friday,Basketball,27,243
57,Saturday,Kettlebell Workout,58,522
57,Sunday,Core Training,144,1152
58,Monday,Bench Press,140,840
58,Tuesday,Spin Class,118,944
58,Wednesday,Push-ups,31,310
58,Thursday,Hiking,79,869
58,Friday,Lunges,113,904
58,Saturday,Rowing,109,654
58,Sunday,Table Tennis,54,648
59,Monday,Mobility Drills,87,1044
59,Tuesday,Boxing,39,351
59,Wednesday,Plank,88,792
59,Thursday,Treadmill,135,1080
59,Friday,Strength Training,145,1305
59,Saturday,HIIT,29,232
59,Sunday,Badminton,81,891
60,Monday,Pilates,130,1040
60,Tuesday,Shoulder Press,71,710
60,Wednesday,Spin Class,128,1536
60,Thursday,Jumping Jacks,43,258
60,Friday,Plank,118,1180
60,Saturday,Crunches,38,418
60,Sunday,Tennis,143,1287
61,Monday,Boxing,37,259
61,Tuesday,Pull-ups,73,438
61,Wednesday,Pilates,119,952
61,Thursday,Burpees,141,1269
61,Friday,Rugby,92,644
61,Saturday,Strength Training,141,1551
61,Sunday,Strength Training,77,539
62,Monday,Martial Arts,61,488
62,Tuesday,Elliptical,25,300
62,Wednesday,Rowing,56,504
62,Thursday,Surfing,78,780
62,Friday,Swimming,55,605
62,Saturday,Rowing,90,990
62,Sunday,Mobility Drills,90,540
63,Monday,Spin Class,93,1116
63,Tuesday,HIIT,140,1120
63,Wednesday,Aerobics,42,504
63,Thursday,Jumping Jacks,25,150
63,Friday,Stretching,86,860
63,Saturday,Kettlebell Workout,121,1452
63,Sunday,Martial Arts,74,444
64,Monday,Running,133,1064
64,Tuesday,Basketball,133,931
64,Wednesday,Strength Training,52,312
64,Thursday,HIIT,127,762
64,Friday,Skipping Rope,39,468
64,Saturday,Squats,85,595
64,Sunday,Rock Climbing,65,390
65,Monday,Battle Ropes,79,632
65,Tuesday,Surfing,36,360
65,Wednesday,Rock Climbing,122,976
65,Thursday,Powerlifting,148,1480
65,Friday,Zumba,47,517
65,Saturday,Stair Climber,29,232
65,Sunday,Pull-ups,85,680
66,Monday,Yoga,33,264
66,Tuesday,Running,46,276
66,Wednesday,Mountain Climbers,44,264
66,Thursday,Basketball,50,300
66,Friday,Tennis,99,990
66,Saturday,Stair Climber,53,530
66,Sunday,Boxing,142,852
67,Monday,Leg Press,40,480
67,Tuesday,Kickboxing,127,762
67,Wednesday,Kettlebell Workout,26,312
67,Thursday,Rowing,31,279
67,Friday,Yoga,126,1008
67,Saturday,Battle Ropes,81,810
67,Sunday,Cycling,59,590
68,Monday,Burpees,144,1296
68,Tuesday,HIIT,32,320
68,Wednesday,CrossFit,120,840
68,Thursday,Burpees,120,960
68,Friday,Skating,67,402
68,Saturday,Lunges,80,800
68,Sunday,Resistance Band Workout,23,230
69,Monday,Hiking,51,357
69,Tuesday,Lunges,147,1470
69,Wednesday,Burpees,84,1008
69,Thursday,Tennis,133,1064
69,Friday,Mobility Drills,84,756
69,Saturday,Volleyball,121,968
69,Sunday,Hiking,86,516
70,Monday,Leg Press,114,1026
70,Tuesday,Strength Training,64,384
70,Wednesday,Powerlifting,84,588
70,Thursday,Powerlifting,31,372
70,Friday,Mobility Drills,103,1133
70,Saturday,Powerlifting,139,973
70,Sunday,Mobility Drills,126,1260
71,Monday,Sit-ups,39,468
71,Tuesday,Elliptical,95,665
71,Wednesday,Squats,41,410
71,Thursday,Battle Ropes,73,438
71,Friday,Powerlifting,143,1573
71,Saturday,Volleyball,113,1356
71,Sunday,Handball,57,684
72,Monday,Skating,115,1380
72,Tuesday,Deadlifts,94,752
72,Wednesday,Rugby,23,184
72,Thursday,Core Training,136,1224
72,Friday,Zumba,80,640
72,Saturday,Cycling,81,810
72,Sunday,Rugby,80,560
73,Monday,Dancing,80,800
73,Tuesday,Jumping Jacks,140,1680
73,Wednesday,Badminton,69,621
73,Thursday,Badminton,83,664
73,Friday,CrossFit,24,144
73,Saturday,Running,79,474
73,Sunday,Hiking,104,624
74,Monday,Running,130,1040
74,Tuesday,Hiking,58,464
74,Wednesday,Swimming,77,539
74,Thursday,Skating,33,363
74,Friday,Stretching,135,1080
74,Saturday,Boxing,64,448
74,Sunday,Mobility Drills,120,1440
75,Monday,Core Training,78,546
75,Tuesday,Stair Climber,31,372
75,Wednesday,Stretching,144,1728
75,Thursday,Core Training,23,138
75,Friday,Jumping Jacks,43,301
75,Saturday,Yoga,77,924
75,Sunday,Resistance Band Workout,34,238
76,Monday,Stair Climber,111,999
76,Tuesday,Cycling,55,550
76,Wednesday,Cycling,32,288
76,Thursday,Stretching,53,636
76,Friday,Stretching,76,912
76,Saturday,Burpees,85,935
