Meal_Name,Meal_Type,Calories_kcal,Protein_g,Carbs_g,Fats_g
Steamed Poha,Snack,534,5.3,20.6,36.6
Low Fat Upma,Lunch,798,44.5,94.5,27.0
Fried Lentil,Lunch,161,34.1,14.9,7.9
Masala Smoothie,Lunch,338,16.4,21.6,8.0
Curry Oats,Snack,329,26.1,98.7,8.4
Mild Dal,Lunch,752,33.3,25.4,14.1
Curry Mushroom,Breakfast,161,37.6,28.7,12.9
Spicy Salad,Breakfast,449,28.3,112.4,21.5
Butter Salad,Lunch,572,18.5,14.4,10.2
Steamed Poha,Dinner,222,35.5,75.8,10.7
High Protein Paneer,Snack,628,13.0,42.3,25.8
Spicy Paratha,Breakfast,705,13.4,52.1,12.1
Spicy Egg,Snack,694,38.6,100.7,17.2
Butter Soup,Dinner,737,9.9,86.1,18.9
Dry Pulao,Snack,666,31.1,80.0,35.4
Masala Chole,Lunch,648,42.7,51.8,37.6
Spicy Idli,Dinner,651,49.8,49.4,31.0
Herb Biryani,Lunch,772,36.7,106.6,8.6
Garlic Oats,Breakfast,502,42.0,95.7,32.8
Garlic Mushroom,Lunch,395,11.2,104.8,36.0
Butter Biryani,Breakfast,788,17.7,42.1,14.2
Fried Paratha,Lunch,340,37.5,26.9,30.5
Masala Poha,Lunch,487,48.9,38.4,39.0
Low Fat Sprouts,Breakfast,587,21.8,83.1,20.0
Herb Mushroom,Dinner,380,36.5,76.3,11.1
Roasted Quinoa,Breakfast,700,16.6,43.5,18.4
Grilled Chicken,Dinner,512,37.0,65.3,38.9
Spicy White Rice,Snack,658,31.8,41.0,15.8
Classic Soya,Lunch,517,10.1,43.3,21.9
Vegan Mushroom,Dinner,608,34.5,69.0,30.5
Classic Mushroom,Snack,582,28.8,112.6,6.4
Mild Chole,Dinner,182,43.1,64.6,25.1
Butter Mushroom,Dinner,462,35.3,54.7,37.6
Garlic Quinoa,Dinner,288,49.9,26.1,11.4
High Protein Roti,Snack,657,22.5,16.0,17.8
Tandoori Tofu,Breakfast,740,27.2,67.6,6.9
Fried Upma,Snack,164,32.4,76.8,14.9
Classic Egg,Dinner,265,34.1,52.3,21.7
Vegan Paratha,Snack,316,43.1,24.7,18.0
Low Fat Lentil,Dinner,716,44.2,66.6,8.7
Vegan Paneer,Breakfast,240,7.5,46.0,20.6
Garlic Tofu,Breakfast,388,21.9,55.5,18.5
Fried Biryani,Lunch,360,38.7,21.9,16.3
Mild Idli,Snack,641,19.5,82.8,23.5
